City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
83,Clyde River,CA,70.47,-68.59,-16.6,75,5,4.7,clear sky
84,Kusti,SD,13.16,32.66,74.89,27,0,10.13,clear sky
85,Cherskiy,RU,68.75,161.3,-7.47,91,100,6.55,overcast clouds
86,Anadyr,RU,64.75,177.48,-16.6,75,86,4.47,fog
87,Souillac,MU,-20.52,57.52,77.0,83,40,12.75,shower rain
88,Saldanha,ZA,-33.01,17.94,64.4,72,57,6.93,broken clouds
89,Bredasdorp,ZA,-34.53,20.04,60.8,72,0,10.29,clear sky
90,Yarmouth,US,41.71,-70.23,57.99,93,90,14.99,light rain
91,Albany,US,42.6,-73.97,53.01,100,90,9.17,mist
92,Aranda De Duero,ES,41.67,-3.69,45.1,66,4,3.42,clear sky
93,Atikokan,CA,48.76,-91.62,22.1,90,0,2.66,clear sky
94,Hobart,AU,-42.88,147.33,64.4,59,75,16.11,broken clouds
95,Butaritari,KI,3.07,172.79,82.78,77,17,19.24,few clouds
96,Misratah,LY,32.38,15.09,66.42,73,18,15.35,few clouds
97,Sabha,LY,27.04,14.43,57.7,37,49,8.63,scattered clouds
98,San Patricio,US,28.02,-97.52,57.0,42,75,18.34,broken clouds
99,Tiksi,RU,71.69,128.87,2.46,88,100,34.23,overcast clouds
100,Onega,RU,63.91,38.14,32.94,96,100,11.39,overcast clouds
101,Albion,US,42.24,-84.75,33.8,74,90,9.17,overcast clouds
102,Bathsheba,BB,13.22,-59.52,82.4,78,40,13.87,scattered clouds
103,Chuy,UY,-33.7,-53.46,65.12,62,0,11.23,clear sky
104,Hilo,US,19.73,-155.09,75.99,64,1,2.55,clear sky
105,Castro,BR,-24.79,-50.01,68.79,86,100,9.73,overcast clouds
106,Batagay-Alyta,RU,67.8,130.41,-3.1,83,69,5.53,broken clouds
107,Saint George,US,37.1,-113.58,57.0,19,1,2.93,clear sky
108,Menongue,AO,-14.66,17.69,66.18,87,97,2.84,overcast clouds
109,Iqaluit,CA,63.75,-68.51,-11.2,69,20,11.41,few clouds
110,Sulangan,PH,11.14,123.72,82.15,78,52,22.86,light rain
111,Raduzhnyy,RU,62.1,77.47,7.75,95,100,9.8,overcast clouds
112,Floro,NO,61.6,5.03,37.4,93,40,2.24,light rain
113,Vestmannaeyjar,IS,63.44,-20.27,37.53,96,100,40.31,overcast clouds
114,Kruisfontein,ZA,-34.0,24.73,62.01,74,58,3.0,broken clouds
115,Miami,US,25.77,-80.19,82.0,65,75,13.87,broken clouds
116,Osa,RU,57.28,55.46,14.77,96,56,4.79,broken clouds
117,Bay-Khaak,RU,51.17,94.5,-5.24,89,69,0.54,broken clouds
118,Taoudenni,ML,22.68,-3.98,75.58,19,100,11.43,overcast clouds
119,Ribeira Grande,PT,38.52,-28.7,60.8,63,20,18.34,few clouds
120,Mount Isa,AU,-20.73,139.5,80.6,57,23,2.24,few clouds
121,Northam,GB,51.03,-4.22,52.0,94,100,10.0,overcast clouds
122,Sao Joao Da Barra,BR,-21.64,-41.05,84.2,58,0,23.04,clear sky
123,Oktyabrskiy,RU,54.48,53.47,13.39,94,0,2.59,clear sky
124,Sao Filipe,CV,14.9,-24.5,74.62,69,96,9.06,overcast clouds
125,Laje,BR,-10.18,-40.97,80.28,50,93,5.97,overcast clouds
126,Anchorage,US,61.22,-149.9,28.0,85,1,4.7,clear sky
127,Ostrovnoy,RU,68.05,39.51,32.47,93,100,26.51,overcast clouds
128,Adrar,MR,20.5,-10.07,74.37,20,99,3.87,overcast clouds
129,El Corpus,HN,14.7,-88.92,78.8,65,75,6.93,broken clouds
130,Stromness,GB,58.97,-3.3,42.8,87,94,18.34,overcast clouds
131,Maceio,BR,-9.67,-35.74,80.6,69,0,13.87,clear sky
132,Qaqortoq,GL,60.72,-46.03,35.6,43,75,11.41,light snow
133,Cabo San Lucas,MX,22.89,-109.91,82.99,44,5,5.82,clear sky
134,Maarianhamina,AX,60.1,19.93,37.4,100,90,5.82,light rain
135,Challans,FR,46.84,-1.87,39.2,93,100,2.24,mist
136,Tselinnoye,RU,53.08,85.67,9.46,96,33,2.13,scattered clouds
137,Amazar,RU,53.86,120.88,-2.07,87,0,2.48,clear sky
138,Mackenzie,CA,55.3,-123.17,37.4,59,1,14.99,clear sky
139,Storforshei,NO,66.4,14.52,35.01,93,75,3.36,light snow
140,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,75,11.41,light snow
141,Bobrovskiy,RU,56.67,60.98,1.4,84,40,2.24,fog
142,Port Hardy,CA,50.7,-127.42,46.4,87,75,4.7,light intensity shower rain
143,Benjamin Constant,BR,-4.38,-70.03,86.0,78,40,5.82,light rain
144,Borogontsy,RU,62.67,131.17,-26.73,85,100,2.21,overcast clouds
145,Ambilobe,MG,-13.2,49.05,76.55,82,58,2.73,broken clouds
146,The Valley,AI,18.22,-63.06,84.2,58,20,11.41,few clouds
